Lr: 1.955e-03 | Update: 5.635e-04 mean,8.490e-04 std | Epoch: [0][390/2000] | Time 0.145 (0.148) | Data 0.005 (0.006) | Loss 1.5596 (2.6129) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:50:49]
Lr: 2.005e-03 | Update: 1.593e-04 mean,2.526e-04 std | Epoch: [0][400/2000] | Time 0.140 (0.148) | Data 0.005 (0.006) | Loss 1.6893 (2.5898) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:50:25]
Lr: 2.055e-03 | Update: 4.473e-04 mean,7.072e-04 std | Epoch: [0][410/2000] | Time 0.143 (0.148) | Data 0.006 (0.006) | Loss 1.4459 (2.5666) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:49:59]
Lr: 2.105e-03 | Update: 1.317e-04 mean,2.325e-04 std | Epoch: [0][420/2000] | Time 0.148 (0.148) | Data 0.006 (0.006) | Loss 1.6336 (2.5450) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:49:46]
Lr: 2.155e-03 | Update: 2.486e-04 mean,3.858e-04 std | Epoch: [0][430/2000] | Time 0.149 (0.148) | Data 0.005 (0.006) | Loss 1.4921 (2.5246) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:49:38]
Lr: 2.205e-03 | Update: 5.076e-04 mean,8.299e-04 std | Epoch: [0][440/2000] | Time 0.149 (0.148) | Data 0.006 (0.006) | Loss 1.7853 (2.5024) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:49:24]
Lr: 2.255e-03 | Update: 2.757e-04 mean,4.944e-04 std | Epoch: [0][450/2000] | Time 0.141 (0.148) | Data 0.005 (0.006) | Loss 1.3287 (2.4823) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:49:04]
Lr: 2.305e-03 | Update: 2.220e-04 mean,3.877e-04 std | Epoch: [0][460/2000] | Time 0.141 (0.148) | Data 0.006 (0.006) | Loss 1.4040 (2.4621) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:48:33]
Lr: 2.355e-03 | Update: 4.028e-04 mean,7.357e-04 std | Epoch: [0][470/2000] | Time 0.141 (0.148) | Data 0.006 (0.006) | Loss 1.2139 (2.4402) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:48:16]
Lr: 2.405e-03 | Update: 4.391e-04 mean,7.270e-04 std | Epoch: [0][480/2000] | Time 0.157 (0.148) | Data 0.005 (0.006) | Loss 1.2929 (2.4218) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:48:25]
Lr: 2.455e-03 | Update: 4.094e-04 mean,7.039e-04 std | Epoch: [0][490/2000] | Time 0.150 (0.148) | Data 0.005 (0.006) | Loss 1.5164 (2.4007) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:48:27]
Lr: 2.505e-03 | Update: 2.225e-04 mean,3.665e-04 std | Epoch: [0][500/2000] | Time 0.150 (0.148) | Data 0.005 (0.006) | Loss 1.3788 (2.3821) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:48:20]
Lr: 2.555e-03 | Update: 3.527e-04 mean,7.464e-04 std | Epoch: [0][510/2000] | Time 0.140 (0.148) | Data 0.005 (0.006) | Loss 1.7111 (2.3655) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:48:03]
Lr: 2.605e-03 | Update: 3.855e-04 mean,7.717e-04 std | Epoch: [0][520/2000] | Time 0.144 (0.147) | Data 0.006 (0.006) | Loss 1.7482 (2.3503) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:47:41]
Lr: 2.655e-03 | Update: 1.945e-04 mean,3.500e-04 std | Epoch: [0][530/2000] | Time 0.151 (0.147) | Data 0.006 (0.006) | Loss 1.5600 (2.3323) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:47:28]
Lr: 2.705e-03 | Update: 4.017e-04 mean,8.407e-04 std | Epoch: [0][540/2000] | Time 0.140 (0.147) | Data 0.005 (0.006) | Loss 1.1762 (2.3142) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:47:11]
Lr: 2.755e-03 | Update: 6.069e-04 mean,1.230e-03 std | Epoch: [0][550/2000] | Time 0.141 (0.147) | Data 0.006 (0.006) | Loss 1.5747 (2.2949) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:47:02]
Lr: 2.805e-03 | Update: 3.092e-04 mean,7.177e-04 std | Epoch: [0][560/2000] | Time 0.145 (0.147) | Data 0.005 (0.006) | Loss 1.1792 (2.2778) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:46:42]
Lr: 2.855e-03 | Update: 3.944e-04 mean,6.769e-04 std | Epoch: [0][570/2000] | Time 0.140 (0.147) | Data 0.005 (0.006) | Loss 1.2425 (2.2604) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:46:35]
